num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
168.0,598.0,0.2809,576.0,0.9632,2.0,4.0,3.5595,1.0,4.0,3.5595,52.0,0.3095,116.0,0.6905,58.0,0.3452,110.0,0.6548,36.0,0.2143,132.0,0.7857,11.0,0.0655,8.0,0.0476,0.0,0.0,6.0,19.0,78.9091,2.0,2.0,13.0,6.0,24.0,16.8824,6.0,24.0,16.625,162.77100000000002,178.387,8.357999999999999,66.896,13.378,7.5360000000000005,7.5360000000000005
168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,4.0,0.0238,4.0,0.0238,0.0,0.0,1.0,5.0,80.4,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231,199.98,67.07600000000001,4.178999999999999,194.71900000000002,2.194,2.2359999999999998,2.194
168.0,598.0,0.2809,580.0,0.9699,2.0,4.0,3.5595,2.0,4.0,3.5595,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,28.0,0.1667,140.0,0.8333,6.0,0.0357,7.0,0.0417,0.0,0.0,2.0,8.0,93.3333,2.0,2.0,13.0,8.0,24.0,16.1579,8.0,24.0,16.15,195.255,17.813,71.913,3.455,45.478,199.995,3.455
168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,46.0,0.2738,122.0,0.7262,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,4.0,0.0238,4.0,0.0238,0.0,0.0,4.0,14.0,89.5,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231,199.99099999999999,26.358,21.493000000000002,46.916000000000004,2.946,52.576,2.946
168.0,596.0,0.2819,572.0,0.9597,1.0,4.0,3.5476,1.0,4.0,3.5476,52.0,0.3095,116.0,0.6905,54.0,0.3214,114.0,0.6786,38.0,0.2262,130.0,0.7738,12.0,0.0714,11.0,0.0655,0.0,0.0,5.0,17.0,92.5,2.0,2.0,3.0,7.0,24.0,15.6087,8.0,24.0,15.9565,173.813,50.558,8.707,25.658,16.784000000000002,1.181,1.181
168.0,596.0,0.2819,572.0,0.9597,2.0,4.0,3.5476,2.0,4.0,3.5476,52.0,0.3095,116.0,0.6905,50.0,0.2976,118.0,0.7024,38.0,0.2262,130.0,0.7738,12.0,0.0714,13.0,0.0774,0.0,0.0,1.0,5.0,81.3846,2.0,2.0,11.0,2.0,24.0,15.7059,2.0,24.0,15.7059,199.99099999999999,12.76,7.745,1.903,1.5719999999999998,0.188,0.188
168.0,594.0,0.2828,568.0,0.9562,2.0,4.0,3.5357,1.0,4.0,3.5357,56.0,0.3333,112.0,0.6667,54.0,0.3214,114.0,0.6786,40.0,0.2381,128.0,0.7619,11.0,0.0655,12.0,0.0714,0.0,0.0,2.0,9.0,103.7778,2.0,2.0,11.0,7.0,24.0,16.2353,7.0,24.0,16.1111,185.85,6.763999999999999,3.034,28.445999999999998,5.57,71.468,3.034
168.0,592.0,0.2838,564.0,0.9527,1.0,4.0,3.5238,1.0,4.0,3.5238,56.0,0.3333,112.0,0.6667,56.0,0.3333,112.0,0.6667,42.0,0.25,126.0,0.75,12.0,0.0714,12.0,0.0714,0.0,0.0,2.0,8.0,85.3333,2.0,2.0,3.0,4.0,24.0,15.4762,8.0,24.0,16.75,199.99,26.145,94.74700000000001,5.983,16.647000000000002,199.99599999999998,5.983
168.0,592.0,0.2838,564.0,0.9527,2.0,4.0,3.5238,1.0,4.0,3.5238,58.0,0.3452,110.0,0.6548,56.0,0.3333,112.0,0.6667,50.0,0.2976,118.0,0.7024,11.0,0.0655,12.0,0.0714,0.0,0.0,6.0,22.0,90.7273,2.0,2.0,13.0,6.0,24.0,16.1364,6.0,24.0,15.9048,199.988,71.433,9.315,2.572,2.557,12.856,2.557
168.0,592.0,0.2838,564.0,0.9527,1.0,4.0,3.5238,1.0,4.0,3.5238,56.0,0.3333,112.0,0.6667,60.0,0.3571,108.0,0.6429,46.0,0.2738,122.0,0.7262,12.0,0.0714,10.0,0.0595,0.0,0.0,1.0,4.0,81.5455,2.0,2.0,13.0,2.0,24.0,13.069,5.0,24.0,15.9524,199.99099999999999,94.59200000000001,9.927999999999999,18.993,17.506,28.691,9.927999999999999
