num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name
405.0,2159.0,0.1876,2056.0,0.9523,2.0,6.0,5.3309,2.0,6.0,5.3309,89.0,0.2198,316.0,0.7802,87.0,0.2148,318.0,0.7852,148.0,0.3654,257.0,0.6346,3.0,0.0074,3.0,0.0074,0.0,0.0,4.0,24.0,180.75,2.0,2.0,117.0,3.0,33.0,16.7627,3.0,33.0,17.6852,80.03399999999999,199.99400000000003,199.993,199.986,199.99,106.963,80.03399999999999,ham10
192.0,712.0,0.2697,712.0,1.0,2.0,4.0,3.7083,2.0,4.0,3.7083,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,0.0,0.0,192.0,1.0,4.0,0.0208,4.0,0.0208,0.0,0.0,3.0,12.0,95.6,2.0,2.0,17.0,11.0,26.0,18.2941,11.0,26.0,18.2941,101.251,59.403999999999996,20.119,2.552,17.331,125.156,2.552,ham6
192.0,708.0,0.2712,704.0,0.9944,2.0,4.0,3.6875,2.0,4.0,3.6875,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,8.0,0.0417,184.0,0.9583,6.0,0.0313,6.0,0.0313,0.0,0.0,7.0,28.0,96.4,2.0,2.0,17.0,4.0,26.0,15.9545,4.0,26.0,17.4737,192.38099999999997,190.418,27.901999999999997,193.65599999999998,13.615,199.99599999999998,13.615,ham8
276.0,1485.0,0.1859,1452.0,0.9778,1.0,6.0,5.3804,2.0,6.0,5.3804,29.0,0.1051,247.0,0.8949,31.0,0.1123,245.0,0.8877,54.0,0.1957,222.0,0.8043,4.0,0.0145,4.0,0.0145,0.0,0.0,6.0,28.0,157.5,2.0,2.0,23.0,6.0,23.0,20.5357,6.0,23.0,20.5357,0.19,4.209,199.99400000000003,3.322,199.987,199.99400000000003,0.19,ham10
176.0,647.0,0.272,646.0,0.9985,2.0,4.0,3.6761,2.0,4.0,3.6761,47.0,0.267,129.0,0.733,47.0,0.267,129.0,0.733,2.0,0.0114,174.0,0.9886,5.0,0.0284,5.0,0.0284,0.0,0.0,3.0,12.0,92.4,2.0,2.0,17.0,11.0,24.0,17.3529,11.0,24.0,17.3529,143.969,199.987,33.598,4.735,5.171,62.597,4.735,ham6
300.0,1615.0,0.1858,1574.0,0.9746,2.0,6.0,5.3833,2.0,6.0,5.3833,35.0,0.1167,265.0,0.8833,37.0,0.1233,263.0,0.8767,64.0,0.2133,236.0,0.7867,3.0,0.01,4.0,0.0133,0.0,0.0,1.0,5.0,163.0,2.0,2.0,2.0,4.0,24.0,20.3939,5.0,24.0,20.4545,0.113,0.327,199.99,14.966,199.958,1.5959999999999999,0.113,ham10
180.0,622.0,0.2894,586.0,0.9421,1.0,4.0,3.4556,2.0,4.0,3.4556,68.0,0.3778,112.0,0.6222,66.0,0.3667,114.0,0.6333,58.0,0.3222,122.0,0.6778,15.0,0.0833,16.0,0.0889,0.0,0.0,1.0,3.0,90.7143,2.0,2.0,1.0,5.0,26.0,17.2963,15.0,28.0,19.875,56.118,1.9409999999999998,12.072000000000001,93.17299999999999,1.567,44.54,1.567,ham8
299.0,1434.0,0.2085,1248.0,0.8703,1.0,6.0,4.796,1.0,6.0,4.796,108.0,0.3612,191.0,0.6388,118.0,0.3946,181.0,0.6054,132.0,0.4415,167.0,0.5585,11.0,0.0368,9.0,0.0301,0.0,0.0,4.0,17.0,129.1875,2.0,2.0,1.0,1.0,25.0,17.7536,1.0,27.0,19.0147,44.363,62.733000000000004,199.99400000000003,2.9789999999999996,199.99200000000002,42.598,2.9789999999999996,ham6
180.0,656.0,0.2744,652.0,0.9939,2.0,4.0,3.6444,2.0,4.0,3.6444,52.0,0.2889,128.0,0.7111,50.0,0.2778,130.0,0.7222,6.0,0.0333,174.0,0.9667,6.0,0.0333,7.0,0.0389,0.0,0.0,1.0,5.0,88.1667,2.0,2.0,3.0,9.0,26.0,17.0,9.0,26.0,17.2727,122.619,79.063,110.137,199.99400000000003,189.86900000000003,145.055,79.063,ham2
192.0,662.0,0.29,616.0,0.9305,2.0,4.0,3.4479,1.0,4.0,3.4479,72.0,0.375,120.0,0.625,72.0,0.375,120.0,0.625,66.0,0.3438,126.0,0.6563,17.0,0.0885,17.0,0.0885,0.0,0.0,1.0,5.0,90.6667,2.0,2.0,17.0,2.0,26.0,17.2,2.0,26.0,17.1034,137.218,199.99599999999998,99.338,13.2,38.152,51.401,13.2,ham6
276.0,1453.0,0.19,1390.0,0.9566,1.0,6.0,5.2645,2.0,6.0,5.2645,49.0,0.1775,227.0,0.8225,55.0,0.1993,221.0,0.8007,90.0,0.3261,186.0,0.6739,4.0,0.0145,3.0,0.0109,0.0,0.0,2.0,9.0,153.4444,2.0,2.0,23.0,4.0,23.0,20.375,5.0,23.0,20.4063,30.166999999999998,28.781999999999996,199.99400000000003,20.399,199.988,2.18,2.18,ham9
231.0,1179.0,0.1959,1100.0,0.9329999999999999,2.0,6.0,5.1039,2.0,6.0,5.1039,59.0,0.2554,172.0,0.7446,53.0,0.2294,178.0,0.7706,94.0,0.4069,137.0,0.5931,6.0,0.026000000000000002,7.0,0.0303,0.0,0.0,3.0,15.0,117.8235,2.0,2.0,19.0,2.0,22.0,17.2105,2.0,22.0,16.7561,9.433,199.99099999999999,199.99400000000003,2.8160000000000003,199.953,2.272,2.272,ham9
180.0,624.0,0.2885,588.0,0.9423,1.0,4.0,3.4667,1.0,4.0,3.4667,68.0,0.3778,112.0,0.6222,60.0,0.3333,120.0,0.6667,56.0,0.3111,124.0,0.6889,14.0,0.0778,18.0,0.1,0.0,0.0,2.0,8.0,85.2727,2.0,2.0,1.0,4.0,26.0,15.5313,4.0,26.0,16.6774,58.985,0.5920000000000001,116.46799999999999,0.6859999999999999,25.263,8.002,0.5920000000000001,ham2
