num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
192.0,710.0,0.2704,708.0,0.9972,2.0,4.0,3.6979,2.0,4.0,3.6979,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,4.0,0.0208,188.0,0.9792,5.0,0.026000000000000002,5.0,0.026000000000000002,0.0,0.0,1.0,5.0,95.6,2.0,2.0,17.0,11.0,26.0,18.5,11.0,26.0,18.5,199.99,7.346,37.798,199.98,15.42,171.858,7.346
192.0,688.0,0.2791,666.0,0.968,1.0,4.0,3.5833,2.0,4.0,3.5833,66.0,0.3438,126.0,0.6563,62.0,0.3229,130.0,0.6771,40.0,0.2083,152.0,0.7917,7.0,0.0365,9.0,0.0469,0.0,0.0,2.0,9.0,85.25,2.0,2.0,17.0,11.0,26.0,17.5238,11.0,26.0,17.5238,199.99200000000002,42.773,61.43899999999999,22.695,16.102999999999998,51.832,16.102999999999998
192.0,688.0,0.2791,666.0,0.968,1.0,4.0,3.5833,2.0,4.0,3.5833,62.0,0.3229,130.0,0.6771,66.0,0.3438,126.0,0.6563,42.0,0.2188,150.0,0.7813,9.0,0.0469,7.0,0.0365,0.0,0.0,3.0,12.0,93.8571,2.0,2.0,17.0,11.0,26.0,17.5,12.0,26.0,17.5909,126.68799999999999,199.995,14.79,158.235,62.951,52.022,14.79
192.0,686.0,0.2799,664.0,0.9679,2.0,4.0,3.5729,1.0,4.0,3.5729,62.0,0.3229,130.0,0.6771,68.0,0.3542,124.0,0.6458,34.0,0.1771,158.0,0.8229,10.0,0.0521,7.0,0.0365,0.0,0.0,1.0,5.0,94.7143,2.0,2.0,17.0,10.0,26.0,17.3333,10.0,26.0,17.3333,199.99200000000002,199.97099999999998,37.488,199.99400000000003,58.018,199.99599999999998,37.488
192.0,686.0,0.2799,660.0,0.9621,1.0,4.0,3.5729,1.0,4.0,3.5729,52.0,0.2708,140.0,0.7292,58.0,0.3021,134.0,0.6979,38.0,0.1979,154.0,0.8021,15.0,0.0781,12.0,0.0625,0.0,0.0,2.0,8.0,76.4286,2.0,2.0,16.0,6.0,26.0,16.0833,6.0,26.0,16.4783,199.968,199.995,8.119,199.99400000000003,38.394,168.5,8.119
192.0,686.0,0.2799,660.0,0.9621,1.0,4.0,3.5729,1.0,4.0,3.5729,60.0,0.3125,132.0,0.6875,60.0,0.3125,132.0,0.6875,42.0,0.2188,150.0,0.7813,11.0,0.0573,11.0,0.0573,0.0,0.0,5.0,19.0,76.3333,8.0,3.0,17.0,4.0,26.0,15.1481,4.0,26.0,16.2609,199.989,152.561,25.44,199.97799999999998,17.367,199.99599999999998,17.367
192.0,710.0,0.2704,708.0,0.9972,2.0,4.0,3.6979,2.0,4.0,3.6979,48.0,0.25,144.0,0.75,50.0,0.2604,142.0,0.7396,4.0,0.0208,188.0,0.9792,5.0,0.026000000000000002,4.0,0.0208,0.0,0.0,2.0,8.0,88.4,2.0,2.0,17.0,11.0,26.0,18.1111,11.0,26.0,18.1111,199.981,199.99400000000003,57.992,199.99200000000002,11.494000000000002,30.816,11.494000000000002
192.0,684.0,0.2807,656.0,0.9591,2.0,4.0,3.5625,2.0,4.0,3.5625,66.0,0.3438,126.0,0.6563,62.0,0.3229,130.0,0.6771,50.0,0.2604,142.0,0.7396,9.0,0.0469,11.0,0.0573,0.0,0.0,3.0,11.0,101.125,2.0,2.0,1.0,2.0,26.0,14.7647,4.0,26.0,14.7143,199.986,199.99200000000002,122.071,147.409,41.254,199.99599999999998,41.254
192.0,684.0,0.2807,656.0,0.9591,2.0,4.0,3.5625,2.0,4.0,3.5625,62.0,0.3229,130.0,0.6771,64.0,0.3333,128.0,0.6667,48.0,0.25,144.0,0.75,11.0,0.0573,10.0,0.0521,0.0,0.0,1.0,5.0,80.125,2.0,2.0,17.0,6.0,26.0,15.8621,6.0,26.0,15.8621,169.03799999999998,48.078,8.224,13.200999999999999,106.866,11.683,8.224
192.0,682.0,0.2815,652.0,0.956,1.0,4.0,3.5521,2.0,4.0,3.5521,64.0,0.3333,128.0,0.6667,68.0,0.3542,124.0,0.6458,50.0,0.2604,142.0,0.7396,11.0,0.0573,9.0,0.0469,0.0,0.0,3.0,11.0,103.5455,2.0,2.0,21.0,3.0,26.0,14.2759,3.0,26.0,15.9583,131.05,13.876,7.94,199.99400000000003,19.761,76.69800000000001,7.94
